Protein.Group	Genes	primary_gene	Category	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-01.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-02.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-03.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-04.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-05.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-06.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-07.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-08.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-09.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-10.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-11.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-12.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-13.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-14.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-15.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-16.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-17.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-18.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-19.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-20.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-21.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-22.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-23.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-24.raw
P07237	P4HB	P4HB	None	29.0583	28.9344	28.9787	29.0137	28.9841	28.9787	29.0634	28.9174	28.8564	28.9088	28.9400	28.8142	29.1040	28.9650	29.1913	29.1040	29.0296	29.2490	29.3494	29.1652	29.4512	29.3217	29.2847	29.4938
P07437	TUBB	TUBB	None	32.3879	32.1331	32.3088	32.3828	32.3620	32.3223	32.3436	32.1361	32.0316	32.1960	32.2336	32.0737	31.7888	31.6329	31.7731	31.7965	31.7494	32.1331	32.1177	31.8309	32.0050	32.0512	32.0958	32.2106
P81877;P81877-4;P81877-5	SSBP2	SSBP2	None	22.1976	22.2184	22.4092	22.4576	22.2036	22.2184	22.3619	22.1734	22.1886	22.2707	22.2214	22.1143	21.8191	21.7471	21.7715	21.7995	21.8913	22.3430	22.2155	21.8876	22.2707	21.9495	22.0821	22.0020
Q8NCB2-2	CAMKV	CAMKV	None	21.5261	21.9171	21.6714	21.5961	22.0691	21.8500	21.7265	21.6141	21.4221	21.4476	21.3592	21.5498	21.4170	21.4476	21.7553	21.7182	21.6096	22.0526	21.7995	21.7223	21.9423	22.0691	21.8913	21.7265
Q4W5G0	TIGD2	TIGD2	None	16.8151	17.9641	18.0327		17.6849		17.5507	17.1328	17.7834	17.2893	17.6186	17.9565	18.3676	18.1833	17.8017	18.8201	17.3434	17.6703	18.7390	17.7412	18.0307	18.1882	18.3501	18.3655
Q8NHM5	KDM2B	KDM2B	None	24.5045	24.5638	24.2244	24.0105	24.3975	24.1719	24.3170	24.2750	24.2170	24.1095	24.2021	24.0935	24.4362	24.1719	24.1015	24.6540	24.4862	24.9043	24.4298	24.1642	24.8385	24.3712	24.5696	24.6320
Q8WUZ0-2	BCL7C	BCL7C	None	22.4247	22.2564	22.2390	22.2419	22.2535	22.1519	22.2155	22.1332	21.9742	22.2006	22.1704	22.0625	22.3239	22.1457	22.2792	22.1825	22.1426	22.6029	22.5213	22.0951	22.5309	22.4092	22.3752	22.6364
O43526-4	KCNQ2	KCNQ2	None	15.7930		14.7600	15.4870	15.2881	15.3209		15.0481			15.8931	15.1315												
Q9NZU5	LMCD1	LMCD1	None	22.8557	22.9352	22.8708	23.0122	22.9459	22.8783	22.9812	22.7675	22.7634	23.0983	22.9690	22.9760	21.9742	21.7307	21.9207	21.9352	21.7182	22.1015	22.1269	21.9280	22.1111	22.0625	22.1047	22.1642
P24158	PRTN3	PRTN3	None																	22.7056							
